v Prey / Predator >;King_mackerel < 2.0 year;King_mackerel > 2.0 year;Amberjacks < 3.0 year;Amberjacks > 3.0 year;Red_grouper < 3.0 year;Red_grouper > 3.0 year;Gag_grouper < 3.0 year;Gag_grouper > 3.0 year;Red_snapper < 2.0 year;Red_snapper > 2.0 year;Sardine_herring_scad_complex < 0.83 year;Sardine_herring_scad_complex > 0.83 year;Anchovies_and_silversides < 0.5 year;Anchovies_and_silversides > 0.5 year;Coastal_omnivores < 1.63 year;Coastal_omnivores > 1.63 year;Reef_carnivores < 2.0 year;Reef_carnivores > 2.0 year;Reef_omnivores < 2.0 year;Reef_omnivores > 2.0 year;Shrimps < 0.33 year;Shrimps > 0.33 year;Large_crabs < 1.25 year;Large_crabs > 1.25 year
King_mackerel < 2.0 year;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.8;0.8;0.4;0.4;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.0
King_mackerel > 2.0 year;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.8;0.8;0.4;0.4;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.0
Amberjacks < 3.0 year;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.8;0.8;0.4;0.4;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.0
Amberjacks > 3.0 year;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.8;0.8;0.4;0.4;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.0
Red_grouper < 3.0 year;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.4;0.4;0.4;0.4;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.0
Red_grouper > 3.0 year;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.4;0.4;0.4;0.4;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.0
Gag_grouper < 3.0 year;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.4;0.4;0.4;0.4;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.0
Gag_grouper > 3.0 year;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.4;0.4;0.4;0.4;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.0
Red_snapper < 2.0 year;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.4;0.4;0.4;0.4;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.0
Red_snapper > 2.0 year;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.4;0.4;0.4;0.4;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.0
Sardine_herring_scad_complex < 0.83 year;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.4;0.4;0.8;0.8;0.8;0.8;0.0;0.0;0.1;0.1
Sardine_herring_scad_complex > 0.83 year;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.4;0.4;0.8;0.8;0.8;0.8;0.0;0.0;0.1;0.1
Anchovies_and_silversides < 0.5 year;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.1;0.1;0.1;0.1;0.4;0.4;0.8;0.8;0.8;0.8;0.0;0.0;0.1;0.1
Anchovies_and_silversides > 0.5 year;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.1;0.1;0.1;0.1;0.4;0.4;0.8;0.8;0.8;0.8;0.0;0.0;0.1;0.1
Coastal_omnivores < 1.63 year;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.4;0.4;0.4;0.4;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.1;0.1
Coastal_omnivores > 1.63 year;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.4;0.4;0.4;0.4;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.1;0.1
Reef_carnivores < 2.0 year;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.4;0.4;0.4;0.4;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.0
Reef_carnivores > 2.0 year;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.4;0.4;0.4;0.4;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.0
Reef_omnivores < 2.0 year;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.4;0.4;0.4;0.4;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.0
Reef_omnivores > 2.0 year;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.4;0.4;0.4;0.4;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.0
Shrimps < 0.33 year;0.4;0.4;0.4;0.4;0.8;0.8;0.8;0.4;0.8;0.8;0.1;0.1;0.1;0.1;0.4;0.4;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.8
Shrimps > 0.33 year;0.4;0.4;0.4;0.4;0.8;0.8;0.8;0.4;0.8;0.8;0.1;0.1;0.1;0.1;0.4;0.4;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.8
Large_crabs < 1.25 year;0.0;0.0;0.1;0.1;0.8;0.8;0.8;0.4;0.8;0.4;0.1;0.1;0.1;0.1;0.0;0.0;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.8
Large_crabs > 1.25 year;0.0;0.0;0.1;0.1;0.8;0.8;0.8;0.4;0.8;0.4;0.1;0.1;0.1;0.1;0.0;0.0;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.8
Small_phytoplankton;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
Diatoms;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
Microzooplankton;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
Mesozooplankton;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
Meiofauna;0.4;0.1;0.1;0.1;0.8;0.8;0.8;0.4;0.4;0.4;0.1;0.1;0.4;0.4;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Small_infauna;0.4;0.1;0.1;0.1;0.8;0.8;0.8;0.4;0.4;0.4;0.1;0.1;0.4;0.4;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Small_mobile_epifauna;0.4;0.1;0.1;0.1;0.8;0.8;0.8;0.4;0.4;0.4;0.1;0.1;0.4;0.4;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Bivalves;0.4;0.1;0.1;0.1;0.1;0.0;0.8;0.4;0.1;0.1;0.1;0.1;0.1;0.1;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Echinoderms_and_large_gastropods;0.4;0.1;0.1;0.1;0.1;0.0;0.8;0.4;0.1;0.1;0.1;0.1;0.1;0.1;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
